UNITID,OPEID,INSTNM,CITY,Year,UGDS,MAIN,NUMBRANCH,HIGHDEG,REGION,LOCALE,LOCALE2,CCSIZSET,PCTPELL,AVGFACSAL,PFTFAC,PRGMOFR,BOOKSUPPLY,ROOMBOARD_ON,ROOMBOARD_OFF,OTHEREXPENSE_ON,OTHEREXPENSE_OFF,ADMCON7,MDCOST_ALL,MDEARN_ALL,UGDS_WOMEN,UGDS_MEN,ADM_RATE,SAT_AVG,ACTCMMID,RET_FT4,C150_4,MD_EARN_WNE_P10,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,OPENADMP,won,lost,tied,notes,win_percentage
160658,00203100,University of Louisiana at Lafayette,Lafayette,1996,14432.0,1,1,4,5,,,,,5131.0,,,,,,,,,,,0.5607,0.4393,,,,,,,,,,,,,1.0,5.0,5.0,,(I-AA play not counted),0.5
160755,00202900,Tulane University of Louisiana,New Orleans,1996,6385.0,1,1,4,5,,,,,6646.0,,,,,,,,,,,0.5056,0.4944,,,,,,,,,,,,,,5.0,6.0,,,0.45454545454545453
160755,00202900,Tulane University of Louisiana,New Orleans,1996,6385.0,1,1,4,5,,,,,6646.0,,,,,,,,,,,0.5056,0.4944,,,,,,,,,,,,,,2.0,9.0,,,0.18181818181818182
163286,00210300,University of Maryland-College Park,College Park,1996,23541.0,1,1,4,2,,,,,6796.0,,,,,,,,,,,0.4829,0.5171,,,,,,,,,,,,,,5.0,6.0,,,0.45454545454545453
164924,00212800,Boston College,Chestnut Hill,1996,10120.0,1,1,4,1,,,,,7842.0,,,,,,,,,,,0.533,0.467,,,,,,,,,,,,,,5.0,7.0,,,0.4166666666666667
164988,00213000,Boston University,Boston,1996,15073.0,1,1,4,1,,,,,6651.0,,,,,,,,,,,0.5699,0.4301,,,,,,,,,,,,,,1.0,10.0,,(I-AA play not counted),0.09090909090909091
166027,00215500,Harvard University,Cambridge,1996,3548.0,1,1,4,1,,,,,9954.0,,,,,,,,,,,0.4574,0.5426,,,,,,,,,,,,,,4.0,6.0,,(I-AA play not counted),0.4
166124,00214100,College of the Holy Cross,Worcester,1996,2636.0,1,1,3,1,,,,,6309.0,,,,,,,,,,,0.519,0.481,,,,,,,,,,,,,,2.0,9.0,,(I-AA play not counted),0.18181818181818182
166124,00214100,College of the Holy Cross,Worcester,1996,2636.0,1,1,3,1,,,,,6309.0,,,,,,,,,,,0.519,0.481,,,,,,,,,,,,,,4.0,7.0,,(I-AA play not counted),0.36363636363636365
169248,00224300,Central Michigan University,Mount Pleasant,1996,16003.0,1,1,4,3,,,,,5970.0,,,,,,,,,,,0.5773,0.4227,,,,,,,,,,,,,,5.0,6.0,,,0.45454545454545453
169248,00224300,Central Michigan University,Mount Pleasant,1996,16003.0,1,1,4,3,,,,,5970.0,,,,,,,,,,,0.5773,0.4227,,,,,,,,,,,,,,5.0,5.0,,(Div III play not counted),0.5
169798,00225900,Eastern Michigan University,Ypsilanti,1996,17634.0,1,1,4,3,,,,,5481.0,,,,,,,,,,,0.5884,0.4116,,,,,,,,,,,,,,3.0,8.0,,,0.2727272727272727
169798,00225900,Eastern Michigan University,Ypsilanti,1996,17634.0,1,1,4,3,,,,,5481.0,,,,,,,,,,,0.5884,0.4116,,,,,,,,,,,,,,8.0,4.0,,,0.6666666666666666
171100,00229000,Michigan State University,East Lansing,1996,32050.0,1,1,4,3,,,,,6752.0,,,,,,,,,,,0.5243,0.4757,,,,,,,,,,,,,,6.0,6.0,,,0.5
172699,00233000,Western Michigan University,Kalamazoo,1996,19581.0,1,1,4,3,,,,,5948.0,,,,,,,,,,,0.5403,0.4597,,,,,,,,,,,,,,2.0,9.0,,,0.18181818181818182
174066,00396900,University of Minnesota-Twin Cities,Minneapolis,1996,37087.0,1,1,4,4,,,,,7011.0,,,,,,,,,,,0.5303,0.4697,,,,,,,,,,,,,,4.0,7.0,,,0.36363636363636365
176080,00242300,Mississippi State University,Mississippi State,1996,11901.0,1,1,4,5,,,,,5306.0,,,,,,,,,,,0.4294,0.5706,,,,,,,,,,,,,,5.0,6.0,,,0.45454545454545453
176372,00244100,University of Southern Mississippi,Hattiesburg,1996,11403.0,1,1,4,5,,,,,5323.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,,,,5.0,6.0,,,0.45454545454545453
176372,00244100,University of Southern Mississippi,Hattiesburg,1996,11403.0,1,1,4,5,,,,,5323.0,,,,,,,,,,,0.58,0.42,,,,,,,,,,,,,,8.0,3.0,,,0.7272727272727273
178396,00251600,University of Missouri-Columbia,Columbia,1996,16778.0,1,1,4,4,,,,,6482.0,,,,,,,,,,,0.5271,0.4729,,,,,,,,,,,,,,8.0,2.0,,(I-AA play not counted),0.8
